FECHA,PRECIPITACION,EMBALSE_NOMBRE
31-01-2014,0.2,Aldeadávila
01-02-2014,6.2,Aldeadávila
02-02-2014,0,Aldeadávila
03-02-2014,11.8,Aldeadávila
04-02-2014,15.4,Aldeadávila
05-02-2014,2.4,Aldeadávila
06-02-2014,9.8,Aldeadávila
07-02-2014,2,Aldeadávila
08-02-2014,10,Aldeadávila
09-02-2014,11.2,Aldeadávila
10-02-2014,1.8,Aldeadávila
11-02-2014,8.2,Aldeadávila
12-02-2014,0.8,Aldeadávila
13-02-2014,0.2,Aldeadávila
14-02-2014,13.2,Aldeadávila
15-02-2014,3,Aldeadávila
16-02-2014,0,Aldeadávila
17-02-2014,0.2,Aldeadávila
18-02-2014,1.2,Aldeadávila
19-02-2014,0,Aldeadávila
20-02-2014,1,Aldeadávila
21-02-2014,0,Aldeadávila
22-02-2014,0.8,Aldeadávila
23-02-2014,0,Aldeadávila
24-02-2014,0,Aldeadávila
25-02-2014,0,Aldeadávila
26-02-2014,2.6,Aldeadávila
27-02-2014,1.2,Aldeadávila
28-02-2014,0,Aldeadávila
01-03-2014,2,Aldeadávila
02-03-2014,1,Aldeadávila
03-03-2014,1.8,Aldeadávila
04-03-2014,0.4,Aldeadávila
05-03-2014,0,Aldeadávila
06-03-2014,0,Aldeadávila
07-03-2014,0,Aldeadávila
08-03-2014,0,Aldeadávila
09-03-2014,0,Aldeadávila
10-03-2014,0,Aldeadávila
11-03-2014,0,Aldeadávila
12-03-2014,0,Aldeadávila
13-03-2014,0,Aldeadávila
14-03-2014,0,Aldeadávila
15-03-2014,0,Aldeadávila
16-03-2014,0,Aldeadávila
17-03-2014,0,Aldeadávila
18-03-2014,0,Aldeadávila
19-03-2014,0,Aldeadávila
20-03-2014,0,Aldeadávila
21-03-2014,0,Aldeadávila
22-03-2014,0.8,Aldeadávila
23-03-2014,0,Aldeadávila
24-03-2014,2.4,Aldeadávila
25-03-2014,3.2,Aldeadávila
26-03-2014,0,Aldeadávila
27-03-2014,0,Aldeadávila
28-03-2014,1.4,Aldeadávila
29-03-2014,8,Aldeadávila
30-03-2014,0.6,Aldeadávila
31-03-2014,7.4,Aldeadávila
01-04-2014,20.8,Aldeadávila
02-04-2014,6.8,Aldeadávila
03-04-2014,2.2,Aldeadávila
04-04-2014,4.8,Aldeadávila
05-04-2014,8.4,Aldeadávila
06-04-2014,0,Aldeadávila
08-04-2014,0,Aldeadávila
09-04-2014,0,Aldeadávila
10-04-2014,0,Aldeadávila
11-04-2014,0,Aldeadávila
12-04-2014,0,Aldeadávila
13-04-2014,0,Aldeadávila
14-04-2014,0,Aldeadávila
15-04-2014,0,Aldeadávila
16-04-2014,0,Aldeadávila
17-04-2014,0,Aldeadávila
19-04-2014,0.2,Aldeadávila
20-04-2014,0,Aldeadávila
21-04-2014,0,Aldeadávila
22-04-2014,0,Aldeadávila
23-04-2014,2.6,Aldeadávila
24-04-2014,4.6,Aldeadávila
25-04-2014,0,Aldeadávila
26-04-2014,7.8,Aldeadávila
27-04-2014,0,Aldeadávila
28-04-2014,0,Aldeadávila
29-04-2014,0,Aldeadávila
30-04-2014,0,Aldeadávila
01-05-2014,0,Aldeadávila
02-05-2014,0,Aldeadávila
03-05-2014,0 ,Aldeadávila
04-05-2014,0,Aldeadávila
05-05-2014,0,Aldeadávila
06-05-2014,0,Aldeadávila
07-05-2014,0,Aldeadávila
08-05-2014,0,Aldeadávila
09-05-2014,0,Aldeadávila
10-05-2014,0,Aldeadávila
11-05-2014,0,Aldeadávila
12-05-2014,0,Aldeadávila
13-05-2014,0,Aldeadávila
14-05-2014,0,Aldeadávila
15-05-2014,0,Aldeadávila
16-05-2014,0,Aldeadávila
17-05-2014,0,Aldeadávila
18-05-2014,0,Aldeadávila
19-05-2014,6.8,Aldeadávila
20-05-2014,6.2,Aldeadávila
21-05-2014,15.8,Aldeadávila
22-05-2014,10,Aldeadávila
23-05-2014,1.6,Aldeadávila
24-05-2014,0,Aldeadávila
25-05-2014,0,Aldeadávila
26-05-2014,0,Aldeadávila
27-05-2014,0,Aldeadávila
28-05-2014,0.2,Aldeadávila
29-05-2014,0,Aldeadávila
30-05-2014,0,Aldeadávila
